AMCL gives us 101 possible locations:
X: 2.06719e-309	Y: 2.74103	A: 0.0565609	W: 0.000620347

AMCL gives us 3 possible locations:
X: 1.18987	Y: -1.46751	A: 0.676597	W: 0.87011
X: -6.16912	Y: -6.02649	A: 0.328094	W: 0.12989
X: 2.06719e-309	Y: 2.74103	A: 0.0565609	W: 0.000620347

AMCL gives us 3 possible locations:
X: 1.13211	Y: -1.51136	A: 0.767045	W: 0.66349
X: -6.23836	Y: -6.04803	A: 0.394512	W: 0.33651
X: 2.06719e-309	Y: 2.74103	A: 0.0565609	W: 0.000620347

AMCL gives us 3 possible locations:
X: -6.30396	Y: -6.07208	A: 0.460247	W: 0.572581
X: 1.0793	Y: -1.56079	A: 0.856739	W: 0.427419
X: 2.06719e-309	Y: 2.74103	A: 0.0565609	W: 0.000620347

AMCL gives us 3 possible locations:
X: -6.30396	Y: -6.07208	A: 0.460247	W: 0.572581
X: 1.0793	Y: -1.56079	A: 0.856739	W: 0.427419
X: 2.06719e-309	Y: 2.74103	A: 0.0565609	W: 0.000620347

AMCL gives us 3 possible locations:
X: -6.37087	Y: -6.09498	A: 0.471896	W: 0.79421
X: 1.03194	Y: -1.62245	A: 0.972834	W: 0.20579
X: 2.06719e-309	Y: 2.74103	A: 0.0565609	W: 0.000620347

AMCL gives us 3 possible locations:
X: -6.44718	Y: -6.13211	A: 0.585018	W: 0.991202
X: 0.992808	Y: -1.69711	A: 1.10596	W: 0.00879765
X: 2.06719e-309	Y: 2.74103	A: 0.0565609	W: 0.000620347

AMCL gives us 2 possible locations:
X: -6.53249	Y: -6.16955	A: 0.663476	W: 1
X: 1.21518e-312	Y: -1.69711	A: 1.10596	W: 0.00879765

Success Localization!
I am at:
Robot Localized Position
------------------------
X:   -6.53249
Y:   -6.16955
Yaw: 0.663476
I am 1 percent sure of my position.

Robot Localized Position
------------------------
X:   -5.59729
Y:   -5.86576
Yaw: 0.208889

Robot Localized Position
------------------------
X:   4.21937
Y:   -4.72847
Yaw: 0.206047

Robot Localized Position
------------------------
X:   4.82964
Y:   -4.04954
Yaw: 0.871402

Robot Localized Position
------------------------
X:   4.96598
Y:   -3.88733
Yaw: 1.40316

Robot Localized Position
------------------------
X:   4.99408
Y:   -3.73217
Yaw: 1.43704

Robot Localized Position
------------------------
X:   5.0104
Y:   -3.59654
Yaw: 1.47194

Success Navigation!
Robot Localized Position
------------------------
X:   5.01273
Y:   -3.58839
Yaw: 1.49921

Powering off. Goodbye! o7
